	description
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	order
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	order
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales	order
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	order
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	order
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20	order
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	order
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	order
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	order
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	order
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14	order
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales	order
k__Bacteria;p__Actinobacteria;c__OPB41;o__	order
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	order
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	order
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	order
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	order
k__Bacteria;p__BRC1;c__PRR-11;o__	order
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	order
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	order
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	order
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	order
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__	order
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]	order
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	order
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	order
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	order
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004	order
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031	order
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15	order
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__	order
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45	order
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	order
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	order
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta	order
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles	order
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	order
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__	order
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	order
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	order
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales	order
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	order
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	order
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales	order
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	order
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	order
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	order
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	order
k__Bacteria;p__Firmicutes;c__Clostridia;o__	order
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	order
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	order
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	order
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	order
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	order
k__Bacteria;p__GN02;c__BD1-5;o__	order
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__	order
